",""Dates"",""AAPL"",""MSFT"",""AMZN"",""FB"",""GOOGL"",""TSLA"",""NVDA"",""BAC"",""NFLX"",""KO"""
"136,""2015-08-04"",27.358141,42.34296,524,94.150002,663.140015,48.228001,5.766255,16.021191,123.029999,34.006748"
"137,""2015-08-11"",26.894323,42.334003,535.219971,93.93,694.109985,50.998001,5.671685,15.781408,125.360001,33.737495"
"138,""2015-08-18"",23.671417,37.28828,463.369995,82.089996,618.109985,43.773998,5.02183,13.578937,96.879997,31.314276"
"139,""2015-08-25"",25.884293,39.191154,512.890015,89.43,647.820007,49.812,5.47396,14.511433,115.029999,32.081219"
"140,""2015-09-01"",25.083155,38.371666,499,88.260002,628.960022,48.386002,5.296203,13.898648,98.790001,31.428503"
"141,""2015-09-08"",26.469654,38.758896,521.380005,92.309998,652.469971,50.638,5.525097,14.21959,95.690002,31.085814"
"142,""2015-09-15"",26.446695,39.722477,548.390015,95.550003,666.97998,52.84,5.72964,13.987944,100.300003,32.252178"
"143,""2015-09-22"",25.810837,38.984035,504.059998,89.209999,624.25,49.686001,5.673635,13.783026,99.470001,32.531979"
"144,""2015-09-29"",25.429779,41.99181,543.679993,94.010002,671.679993,49.23,6.189861,13.979034,111.25,33.749973"
"145,""2015-10-06"",25.61801,42.325008,550.190002,94.260002,676.429993,43.116001,6.416319,13.827575,113.449997,34.564716"
"146,""2015-10-13"",25.647858,42.883335,573.150024,98.470001,699.950012,45.619999,6.771834,14.379964,101.690002,34.556496"
"147,""2015-10-20"",26.462763,48.853863,608.609985,103.769997,731.119995,43.051998,6.930111,14.709617,103.040001,35.050262"
"148,""2015-10-27"",27.81712,47.944336,628.349976,103.309998,747.73999,42.757999,6.988552,15.19964,107.639999,34.762234"
"149,""2015-11-03"",27.677097,48.772816,655.48999,106.489998,754.77002,45.066002,7.648448,15.752032,109.860001,34.186142"
"150,""2015-11-10"",26.322449,48.421608,647.809998,104.040001,750.419983,42.862,7.402508,15.529294,111.349998,34.531796"
"151,""2015-11-17"",27.145456,48.799847,678.98999,106.949997,776.700012,43.549999,7.529131,15.56493,125.029999,35.354763"
"152,""2015-11-24"",27.272253,49.273808,664.799988,104.239998,762.849976,46.051998,7.753262,15.529294,123.330002,35.074959"
"153,""2015-12-01"",27.267645,50.59745,669.830017,105.610001,772.98999,46.226002,8.093019,15.627295,125.360001,35.824932"
"154,""2015-12-08"",25.930548,49.990025,657.909973,104.660004,762.539978,43.716,7.96103,15.01013,120.669998,35.202969"
"155,""2015-12-15"",24.743294,49.708984,664.51001,104.769997,760.799988,46.512001,8.04169,15.162017,116.629997,35.476635"
"156,""2015-12-22"",24.625719,50.724377,675.200012,105.93,782.23999,45.790001,8.100351,15.304973,117.110001,36.065426"
"157,""2015-12-29"",24.286831,49.681782,636.98999,102.220001,759.440002,44.681999,7.912142,14.679554,109.959999,35.16151"
"158,""2016-01-05"",22.714588,47.415287,617.73999,97.510002,733.070007,41.57,7.254628,13.678876,114.970001,34.481503"
"159,""2016-01-12"",22.391834,46.227634,570.179993,94.970001,710.48999,40.998001,6.62645,12.919436,104.040001,34.415154"
